id,name,artists,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,mode,key,duration_ms,release_date,popularity,duration_min,key_sin,key_cos,dance_energy,positive_energy,acoustic_energy_balance,release_year,decade,cluster
track_0,Song 0,Artist 0,0.4183591010202581,0.2647683066663715,-22.410535171658726,0.05584436228630647,0.335258848055032,0.0819020330158421,0.6346487613679498,0.7727409722082919,80.3880233935632,0,11,234186,1978-01-01,88,3.9031,-0.5000000000000004,0.8660254037844384,0.11076823075559919,0.2045973187033151,0.5587385282123879,1978,1970,4
track_1,Song 1,Artist 1,0.9081071604484287,0.5822918431667388,-22.837614826912006,0.07964905291553204,0.9606250930820227,0.06987296170977751,0.23943950501354316,0.38628526673568575,64.68131797855368,0,4,124257,1990-01-01,78,2.07095,0.8660254037844387,-0.4999999999999998,0.5287833922504289,0.22493075995567777,0.622602842648621,1990,1990,0
track_2,Song 2,Artist 2,0.7221948505396943,0.8769217939300034,-3.7186171648899347,0.014415306609661314,0.23648709432541593,0.015599494428554045,0.6722328540146963,0.3993093110916473,125.8348719460256,0,0,266918,2000-01-01,27,4.448633333333333,0.0,1.0,0.6333084039022794,0.35016303741544114,0.21239895282047755,2000,2000,2
track_3,Song 3,Artist 3,0.6088597115674811,0.7516801489045094,-22.763160204364322,0.049024678748828314,0.4386613991450843,0.05835149851435857,0.5779525002758866,0.13612110445220105,193.62267727941838,0,5,273555,2021-01-01,72,4.55925,0.49999999999999994,-0.8660254037844387,0.45766775865300086,0.10231953206367676,0.3685169448608235,2021,2020,0
track_4,Song 4,Artist 4,0.23261584437607105,0.8178394215966902,-22.1134579422697,0.0424019381061268,0.9930940141085178,0.040662275605389715,0.7592551527881035,0.873125991699573,76.19453131073632,1,7,146558,2012-01-01,1,2.442633333333333,-0.4999999999999997,-0.8660254037844388,0.19024240761875166,0.7140768560326153,0.5483876138904998,2012,2010,3
track_5,Song 5,Artist 5,0.23259534228577225,0.6863171963725384,-7.977450389879053,0.08943731370964587,0.007766323110847725,0.073779079171612,0.356695426817504,0.13193268345089754,192.47702902043147,0,0,163188,1975-01-01,16,2.7198,0.0,1.0,0.15963418320688214,0.0905476694159256,0.011189304606056156,1975,1970,1
track_6,Song 6,Artist 6,0.14937107034296954,0.7161261424208887,-16.95754456893434,0.11826935506050372,0.9285186471841286,0.08810547149463606,0.5464773795879756,0.6333882597037003,162.6706120624931,0,1,264084,1983-01-01,57,4.4014,0.49999999999999994,0.8660254037844387,0.10696852839398999,0.4535858910762909,0.5645705920708459,1983,1980,3
track_7,Song 7,Artist 7,0.8362497239086949,0.8557841298931341,-7.4753938482997455,0.0006115634704485625,0.8590705368923558,0.0008531871735415614,0.398641085609953,0.4218750309225179,149.24983241078286,0,0,153236,2002-01-01,73,2.553933333333333,0.0,1.0,0.7156492423485761,0.361033956261666,0.5009579252245119,2002,2000,2
track_8,Song 8,Artist 8,0.6109477599817275,0.32220452788467546,-28.104381430632827,0.0560459500444768,0.6255781302534321,0.14313167606257016,0.5229415229814076,0.41505745122989807,150.3388857452988,0,4,355281,1976-01-01,8,5.92135,0.8660254037844387,-0.4999999999999998,0.1968501345671125,0.13373339011854601,0.6600431700651618,1976,1970,0
track_9,Song 9,Artist 9,0.7018616911266387,0.5355882176423951,-15.860435383471856,0.002661379202311137,0.7451598437970085,0.12483228618901175,0.387199179505803,0.6615966529154155,175.7418707754795,1,1,165076,1993-01-01,30,2.7512666666666665,0.49999999999999994,0.8660254037844387,0.3759088521819936,0.35434337213314165,0.5818156469773564,1993,1990,2
track_10,Song 10,Artist 10,0.11749682015143209,0.296876403219446,-29.025205594684802,0.03979873036849448,0.8657696419913324,0.0456158139857578,0.19147418481805611,0.11038435936689084,74.96878101317499,1,9,168402,1978-01-01,65,2.8067,-1.0,-1.8369701987210297e-16,0.03488203335627928,0.03277051158052531,0.7446538874868732,1978,1970,4
track_11,Song 11,Artist 11,0.9244233743376952,0.9790245271170158,-28.18305709979472,0.0169580835284943,0.8073546716126245,0.005438853820967645,0.43092306200253566,0.5843352046562912,130.66560529917584,0,9,214467,1980-01-01,87,3.57445,-1.0,-1.8369701987210297e-16,0.9050331569168781,0.5720784974164501,0.45195007881679594,1980,1980,2
track_12,Song 12,Artist 12,0.8075762446803585,0.9402128123210858,-3.7133138530120817,0.018320148226473095,0.8601741513477905,0.1406221758522542,0.44643815107808177,0.7448286073751192,157.59275935650618,1,3,283148,1992-01-01,61,4.719133333333334,1.0,6.123233995736766e-17,0.7592935321746211,0.7002973996373587,0.47777155185758174,1992,1990,2
track_13,Song 13,Artist 13,0.2804882440765347,0.13508986211797025,-25.96188423758974,0.021767242483955857,0.00665269339710731,0.3104992839600694,0.6579528861951208,0.7953914820979348,142.1548623102989,0,0,200337,2017-01-01,18,3.33895,0.0,1.0,0.03789111821801066,0.10744932564641801,0.0469347151123188,2017,2010,1
track_14,Song 14,Artist 14,0.25455122212603554,0.7279619035389627,-14.559800214018704,0.048549550256913064,0.5656808274836148,0.02746363340482561,0.601640529345186,0.20347735045439774,176.58906994326125,0,6,235827,2020-01-01,80,3.93045,1.2246467991473532e-16,-1.0,0.18530359220703815,0.148123759363848,0.43727713737418655,2020,2020,0
track_15,Song 15,Artist 15,0.2558938333754187,0.9234710024999425,-18.07822752457951,0.0203270317391417,0.8995388883170256,0.03908592159756124,0.5478437179560831,0.8576771450703563,70.1180392615892,0,7,326236,1971-01-01,73,5.437266666666667,-0.4999999999999997,-0.8660254037844388,0.23631053484075118,0.7920399729794105,0.49343582797462293,1971,1970,3
track_16,Song 16,Artist 16,0.3586059065156071,0.26071205716332685,-19.927043538493564,0.06596900519963843,0.363108792533829,0.02031116481981208,0.13504032166442942,0.640531482662698,156.69814552988322,0,4,194264,1984-01-01,54,3.2377333333333334,0.8660254037844387,-0.4999999999999998,0.0934928835986036,0.16699428052286783,0.5820712960120039,1984,1980,4
track_17,Song 17,Artist 17,0.5460429668874022,0.6054712551918402,-3.904832975069098,0.02591999393869146,0.4805767543415987,0.08602321026954753,0.5904622179977863,0.8436693207386144,134.7638822538605,1,1,137335,2004-01-01,27,2.2889166666666667,0.49999999999999994,0.8660254037844387,0.3306133205499918,0.5108175225944561,0.4425000622651938,2004,2000,3
track_18,Song 18,Artist 18,0.4671532658457984,0.9147845848533572,-29.367121493510805,0.0035400753206794398,0.2552090510410287,0.01682309705960842,0.4252288672658861,0.4867526453991784,113.08252095719209,1,7,163773,2005-01-01,91,2.72955,-0.4999999999999997,-0.8660254037844388,0.4273446063596387,0.44527381664776083,0.21812839410664286,2005,2000,2
