track_id,release_year,y_true,y_pred_raw,residual_raw,absolute_error_raw,model_id
3Ofmpyhv5UAQ70mENzB277,2021,98,28.907738,69.0922622680664,69.0922622680664,EXP24-XGB-FINAL-001
3iw6V4LH7yPj1ESORX9RIN,2021,92,26.606312,65.3936882019043,65.3936882019043,EXP24-XGB-FINAL-001
5s2zbxZI4Ym5LTKwjZHS2V,2019,77,14.365955,62.6340446472168,62.6340446472168,EXP24-XGB-FINAL-001
45S5WTQEGOB1VHr1Q4FuPl,2019,88,27.404861,60.59513854980469,60.59513854980469,EXP24-XGB-FINAL-001
6tDDoYIxWvMLTdKpjFkc1B,2020,97,36.711357,60.28864288330078,60.28864288330078,EXP24-XGB-FINAL-001
6UelLqGlWMcVH1E5c4H7lY,2019,92,31.93505,60.064950942993164,60.064950942993164,EXP24-XGB-FINAL-001
3FAJ6O0NOHQV8Mc5Ri6ENp,2020,94,34.346474,59.653526306152344,59.653526306152344,EXP24-XGB-FINAL-001
7MAibcTli4IisCtbHKrGMh,2021,96,36.74337,59.256629943847656,59.256629943847656,EXP24-XGB-FINAL-001
7lPN2DXiMsVn7XUKtOW1CS,2021,99,40.30718,58.69282150268555,58.69282150268555,EXP24-XGB-FINAL-001
3YJJjQPAbDT7mGpX3WtQ9A,2020,93,34.483505,58.51649475097656,58.51649475097656,EXP24-XGB-FINAL-001
5vGLcdRuSbUhD8ScwsGSdA,2020,89,31.524498,57.475502014160156,57.475502014160156,EXP24-XGB-FINAL-001
1xK1Gg9SxG8fy2Ya373oqb,2020,94,36.539944,57.46005630493164,57.46005630493164,EXP24-XGB-FINAL-001
5QO79kh1waicV47BqGRL3g,2020,97,39.834713,57.165287017822266,57.165287017822266,EXP24-XGB-FINAL-001
4iJyoBOLtHqaGxP12qzhQI,2021,100,42.97169,57.0283088684082,57.0283088684082,EXP24-XGB-FINAL-001
5YaskwnGDZFDRipaqzbwQx,2021,91,34.355457,56.6445426940918,56.6445426940918,EXP24-XGB-FINAL-001
5KbTBSGUvgDg75gIVhUaAW,2020,78,21.512268,56.48773193359375,56.48773193359375,EXP24-XGB-FINAL-001
0VjIjW4GlUZAMYd2vXMi3b,2020,96,39.60537,56.394630432128906,56.394630432128906,EXP24-XGB-FINAL-001
1ZMiCix7XSAbfAJlEZWMCp,2019,87,30.707968,56.29203224182129,56.29203224182129,EXP24-XGB-FINAL-001
7m9OqQk4RVRkw9JJdeAw96,2017,87,30.716526,56.28347396850586,56.28347396850586,EXP24-XGB-FINAL-001
3GVkPk8mqxz0itaAriG1L7,2017,85,28.863398,56.1366024017334,56.1366024017334,EXP24-XGB-FINAL-001
