track_id,release_year,y_true,y_pred_raw,residual_raw,absolute_error_raw,model_id,target_popularity,duration_min,explicit,release_month,decade,release_precision,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
3Ofmpyhv5UAQ70mENzB277,2021,98,28.907738,69.0922622680664,69.0922622680664,EXP24-XGB-FINAL-001,98,2.213,False,1.0,2020,day,0.778,0.695,4,-6.865,0,0.0913,0.175,0.0,0.15,0.472,149.996,4.0
3iw6V4LH7yPj1ESORX9RIN,2021,92,26.606312,65.3936882019043,65.3936882019043,EXP24-XGB-FINAL-001,92,1.9458,False,1.0,2020,day,0.722,0.893,0,-3.255,0,0.0475,0.0441,0.000937,0.0673,0.439,119.932,4.0
5s2zbxZI4Ym5LTKwjZHS2V,2019,77,14.365955,62.6340446472168,62.6340446472168,EXP24-XGB-FINAL-001,77,2.039,False,12.0,2010,day,0.474,0.921,9,-10.431,0,0.0457,0.00491,0.859,0.476,0.696,93.007,4.0
45S5WTQEGOB1VHr1Q4FuPl,2019,88,27.404861,60.59513854980469,60.59513854980469,EXP24-XGB-FINAL-001,88,3.4818,False,12.0,2010,day,0.448,0.838,4,-5.257,0,0.0557,0.21,0.000131,0.131,0.254,139.863,4.0
6tDDoYIxWvMLTdKpjFkc1B,2020,97,36.711357,60.28864288330078,60.28864288330078,EXP24-XGB-FINAL-001,97,2.6698,False,12.0,2020,day,0.653,0.524,11,-9.016,0,0.0502,0.112,0.0,0.203,0.553,83.97,4.0
6UelLqGlWMcVH1E5c4H7lY,2019,92,31.93505,60.064950942993164,60.064950942993164,EXP24-XGB-FINAL-001,92,2.9,False,12.0,2010,day,0.548,0.816,0,-4.209,1,0.0465,0.122,0.0,0.335,0.557,95.39,4.0
3FAJ6O0NOHQV8Mc5Ri6ENp,2020,94,34.346474,59.653526306152344,59.653526306152344,EXP24-XGB-FINAL-001,94,3.3062,False,3.0,2020,day,0.449,0.465,0,-8.964,1,0.0791,0.524,1.02e-06,0.303,0.543,89.087,3.0
7MAibcTli4IisCtbHKrGMh,2021,96,36.74337,59.256629943847656,59.256629943847656,EXP24-XGB-FINAL-001,96,4.0349,False,3.0,2020,day,0.586,0.616,5,-7.964,1,0.0324,0.182,0.0,0.0927,0.719,148.088,4.0
7lPN2DXiMsVn7XUKtOW1CS,2021,99,40.30718,58.69282150268555,58.69282150268555,EXP24-XGB-FINAL-001,99,4.0336,True,1.0,2020,day,0.585,0.436,10,-8.761,1,0.0601,0.721,1.31e-05,0.105,0.132,143.874,4.0
3YJJjQPAbDT7mGpX3WtQ9A,2020,93,34.483505,58.51649475097656,58.51649475097656,EXP24-XGB-FINAL-001,93,4.6534,True,12.0,2020,day,0.436,0.655,1,-8.37,0,0.0583,0.499,8.1e-06,0.688,0.412,121.002,4.0
5vGLcdRuSbUhD8ScwsGSdA,2020,89,31.524498,57.475502014160156,57.475502014160156,EXP24-XGB-FINAL-001,89,2.0544,True,8.0,2020,day,0.719,0.648,3,-7.6,0,0.125,0.2,0.0,0.127,0.66,140.201,4.0
1xK1Gg9SxG8fy2Ya373oqb,2020,94,36.539944,57.46005630493164,57.46005630493164,EXP24-XGB-FINAL-001,94,3.8809,False,12.0,2020,day,0.713,0.617,8,-4.637,1,0.0887,0.122,0.0,0.0962,0.682,168.021,4.0
5QO79kh1waicV47BqGRL3g,2020,97,39.834713,57.165287017822266,57.165287017822266,EXP24-XGB-FINAL-001,97,3.5938,True,3.0,2020,day,0.68,0.826,0,-5.487,1,0.0309,0.0212,1.24e-05,0.543,0.644,118.051,4.0
4iJyoBOLtHqaGxP12qzhQI,2021,100,42.97169,57.0283088684082,57.0283088684082,EXP24-XGB-FINAL-001,100,3.3014,True,3.0,2020,day,0.677,0.696,0,-6.181,1,0.119,0.321,0.0,0.42,0.464,90.03,4.0
5YaskwnGDZFDRipaqzbwQx,2021,91,34.355457,56.6445426940918,56.6445426940918,EXP24-XGB-FINAL-001,91,2.5009,False,1.0,2020,day,0.669,0.784,7,-5.603,1,0.112,0.194,6.28e-06,0.115,0.517,125.993,4.0
5KbTBSGUvgDg75gIVhUaAW,2020,78,21.512268,56.48773193359375,56.48773193359375,EXP24-XGB-FINAL-001,78,2.039,False,8.0,2020,day,0.474,0.91,9,-10.431,0,0.0462,0.00498,0.859,0.476,0.745,93.01,4.0
0VjIjW4GlUZAMYd2vXMi3b,2020,96,39.60537,56.394630432128906,56.394630432128906,EXP24-XGB-FINAL-001,96,3.334,False,3.0,2020,day,0.514,0.73,1,-5.934,1,0.0598,0.00146,9.54e-05,0.0897,0.334,171.005,4.0
1ZMiCix7XSAbfAJlEZWMCp,2019,87,30.707968,56.29203224182129,56.29203224182129,EXP24-XGB-FINAL-001,87,4.0022,False,12.0,2010,day,0.567,0.267,4,-6.502,1,0.0299,0.839,1.46e-06,0.089,0.0592,110.011,4.0
7m9OqQk4RVRkw9JJdeAw96,2017,87,30.716526,56.28347396850586,56.28347396850586,EXP24-XGB-FINAL-001,87,1.9855,True,8.0,2010,day,0.872,0.391,0,-9.144,0,0.242,0.469,4.13e-06,0.297,0.437,134.021,4.0
3GVkPk8mqxz0itaAriG1L7,2017,85,28.863398,56.1366024017334,56.1366024017334,EXP24-XGB-FINAL-001,85,1.5911,True,8.0,2010,day,0.734,0.57,7,-7.066,0,0.133,0.847,2.14e-05,0.112,0.689,129.953,4.0
